experiment	strain_type
SRX8030417	PA14
SRX8030418	PA14
SRX8030419	PA14
SRX8030420	PA14
SRX8030421	PA14
SRX8030422	PA14
SRX8030423	PA14
SRX8030424	PA14
SRX8030425	PA14
SRX8030426	PA14
SRX8030427	PA14
SRX8030428	PA14
ERX3284746	PAO1
ERX3284747	PAO1
ERX3284748	PAO1
ERX3284749	PAO1
ERX3284750	PAO1
ERX3284751	PAO1
ERX3284752	PAO1
ERX3284753	PAO1
SRX8138061	PAO1
SRX8138062	PAO1
SRX8138063	PAO1
SRX8138064	PAO1
SRX8143226	PAO1
SRX8143227	PAO1
SRX8143228	PAO1
SRX8143229	PAO1
SRX8111265	PAO1
SRX8111267	PAO1
SRX8111268	PAO1
SRX8111270	PAO1
SRX8111271	PAO1
SRX8111309	PA14
SRX8111318	PA14
SRX8111321	PA14
SRX8111324	PA14
SRX8111326	PA14
SRX7299391	PA14
SRX7299396	PA14
ERX3593017	PAO1
ERX3593018	PAO1
ERX3593019	PAO1
ERX3593020	PAO1
ERX3593021	PAO1
ERX3593022	PAO1
SRX5290921	PA14
SRX5290922	PA14
SRX5290923	PAO1
SRX5290924	PAO1
SRX5457605	PAO1
SRX5457608	PAO1
SRX7299393	PA14
SRX7299394	PA14
SRX7299395	PA14
SRX7299397	PA14
SRX7299398	PA14
SRX5309394	PA14
SRX5309393	PA14
SRX5309392	PA14
SRX7423374	PA14
SRX7423375	PA14
SRX7423376	PA14
SRX7423377	PA14
SRX7423378	PA14
SRX7423379	PA14
SRX7423380	PA14
SRX7423381	PA14
SRX7423382	PA14
SRX7423383	PA14
SRX7423384	PA14
SRX7423385	PA14
SRX7423386	PA14
SRX7423387	PA14
SRX7423388	PA14
SRX7423389	PA14
SRX7423390	PA14
SRX3573048	PAO1
SRX3573047	PAO1
SRX3573045	PAO1
SRX3573043	PAO1
SRX8487079	PAO1
SRX8487078	PAO1
SRX8487077	PAO1
SRX8487076	PAO1
SRX8487075	PAO1
SRX8487074	PAO1
ERX3552239	PAO1
ERX3552240	PAO1
ERX3552241	PAO1
ERX3552242	PAO1
ERX3552243	PAO1
ERX3552244	PAO1
ERX3552245	PAO1
ERX3552246	PAO1
ERX3552247	PAO1
ERX3552248	PAO1
ERX3552249	PAO1
ERX3552250	PAO1
ERX3552251	PAO1
ERX3552252	PAO1
ERX3552253	PAO1
ERX3552254	PAO1
ERX3552255	PAO1
ERX3552256	PAO1
ERX3552257	PAO1
ERX3552258	PAO1
ERX3552259	PAO1
ERX3552260	PAO1
ERX3552261	PAO1
ERX3552262	PAO1
ERX3552263	PAO1
ERX3552264	PAO1
ERX3552265	PAO1
ERX3552266	PAO1
ERX3552267	PAO1
ERX3552268	PAO1
SRX384494	PAO1
SRX386230	PAO1
SRX386232	PAO1
SRX386233	PAO1
SRX386234	PAO1
SRX389604	PAO1
SRX389605	PAO1
SRX389627	PAO1
SRX389628	PAO1
SRX389601	PAO1
SRX885668	PA14
SRX885669	PA14
SRX885670	PA14
SRX885671	PA14
SRX885672	PA14
SRX885673	PA14
SRX885674	PA14
SRX885675	PA14
SRX885676	PA14
SRX329010	PAO1
ERX676205	PAO1
ERX676206	PAO1
ERX676207	PAO1
ERX676208	PAO1
ERX676209	PAO1
ERX676210	PAO1
ERX676211	PAO1
ERX676212	PAO1
ERX676213	PAO1
ERX676214	PAO1
ERX676215	PAO1
ERX676216	PAO1
SRX853974	PAO1
